7 43
4592 6634 -380
4592 3005 668
4592 3194 642
4592 7502 812
4592 1590 -414
4592 4592 463
1591 6634 237
1591 3005 -709
1591 1590 838
1591 4592 608
1591 7502 -755
1591 1591 -429
1591 3194 -282
3005 3005 -877
3005 4592 -366
3005 6634 -448
3005 7502 -270
3005 3194 -888
1590 7502 -622
1590 4592 -8
1590 3194 850
1590 3005 85
1590 1591 754
1590 6634 599
1590 1590 -231
7502 4592 -523
7502 1591 -679
7502 6634 699
7502 3194 956
7502 7502 659
7502 1590 -565
3194 4592 -711
3194 1591 -282
3194 6634 -535
3194 3194 -117
3194 7502 -758
3194 1590 491
3194 3005 728
6634 4592 -152
6634 7502 729
6634 3005 112
6634 1591 -169
6634 6634 373
